Shorthand	DOI	Authors	Journal	Title	Date	bioRxiv DOI	Reported cells total	Organism	Tissue	Technique	Data location	Panel size	Measurement	Cell source	Contrasts	Developmental stage	Number of reported cell types or clusters	Cell clustering	Pseudotime	RNA Velocity	PCA	tSNE	H5AD location	Isolation
Azizi et al Cell	10.1016/j.cell.2018.05.060	Elham Azizi, Ambrose J. Carr, George Plitas, Andrew E. Cornish, Catherine Konopacki, Sandhya Prabhakaran, Juozas Nainys, Kenmin Wu, Vaidotas Kiseliovas, Manu Setty, Kristy Choi, Rachel M. Fromme, Phuong Dao, Peter T. McKenney, Ruby C. Wasti, Krishna Kadaveru, Linas Mazutis, Alexander Y. Rudensky, Dana Pe’er	Cell	Single-Cell Map of Diverse Immune Phenotypes in the Breast Tumor Microenvironment	20180628.0	10.1101/221994	72,000	Human	Tumor	Chromium	GSE114727		RNA-seq	breast tumor immune cells			95.0	Yes	Yes	No	Yes	Yes		
Trujillo et al BioRxiv	10.1101/358622	Cleber A. Trujillo, Richard Gao, Priscilla D. Negraes, Isaac A. Chaim, Alain Domissy, Matthieu Vandenberghe, Anna Devor, Gene W. Yeo, Bradley Voytek, Alysson R. Muotri	bioRxiv	Nested oscillatory dynamics in cortical organoids model early human brain network development	20180629.0	10.1101/358622	3,491	Human	Organoid	Chromium	GSE113089		RNA-seq	Cortical organoid			7.0							
Lukowski et al JID	10.1016/j.jid.2018.06.169	Samuel W. Lukowski, Zewen K. Tuong, Katharina Noske, Anne Senabouth, Quan H. Nguyen, Stacey B. Andersen, H. Peter Soyer, Ian H. Frazer, Joseph E. Powell	Journal of Investigative Dermatology	Detection of HPV E7 Transcription at Single-Cell Resolution in Epidermis	20180630.0	10.1101/252858	9,410	Mouse		Chromium	E-MTAB-6429		RNA-seq				14.0	Yes				Yes		
Wu et al JASN	10.1681/ASN.2018020125	Haojia Wu, Andrew F. Malone, Erinn L. Donnelly, Yuhei Kirita, Kohei Uchimura, Sai M. Ramakrishnan, Joseph P. Gaut, Benjamin D. Humphreys	JASN	Single-Cell Transcriptomics of a Human Kidney Allograft Biopsy Specimen Defines a Diverse Inflammatory Response	20180706.0	-	8,746	Human	Kidney	InDrops	GSE114156		RNA-seq	Kidney			16.0	Yes						
La et al NCommunications	10.1038/s41467-018-04827-z	Hue M. La, Juho-Antti Mäkelä, Ai-Leen Chan, Fernando J. Rossello, Christian M. Nefzger, Julien M. D. Legrand, Mia De Seram, Jose M. Polo, Robin M. Hobbs	Nat Commun	Identification of dynamic undifferentiated cell states within the male germline	20180713.0	-	9,424	Mouse		Chromium	GSE107256		RNA-seq	Germ cells				No	Yes	No	No	Yes		
Richard et al NImmunology	10.1038/s41590-018-0160-9	Arianne C. Richard, Aaron T. L. Lun, Winnie W. Y. Lau, Berthold Göttgens, John C. Marioni, Gillian M. Griffiths	Nat Immunol	T cell cytolytic capacity is independent of initial stimulation strength	20180713.0	-	528	Mouse	Culture	Smart-seq2	E-MTAB-6051		RNA-seq	Cytotoxic T cells			3.0	No	Yes	No	Yes	No		
Bornstein et al Nature	10.1038/s41586-018-0346-1	Chamutal Bornstein, Shir Nevo, Amir Giladi, Noam Kadouri, Marie Pouzolles, François Gerbe, Eyal David, Alice Machado, Anna Chuprin, Beáta Tóth, Ori Goldberg, Shalev Itzkovitz, Naomi Taylor, Philippe Jay, Valérie S. Zimmermann, Jakub Abramson, Ido Amit	Nature	Single-cell mapping of the thymic stroma identifies IL-25-producing tuft epithelial cells	20180717.0	-	17,654	Mouse		MARS-Seq			RNA-seq				13.0							
Beumer et al NCB	10.1038/s41556-018-0143-y	Joep Beumer, Benedetta Artegiani, Yorick Post, Frank Reimann, Fiona Gribble, Thuc Nghi Nguyen, Hongkui Zeng, Maaike Van den Born, Johan H. Van Es, Hans Clevers	Nat Cell Biol	Enteroendocrine cells switch hormone expression along the crypt-to-villus BMP signalling gradient	20180719.0	-	2,880	Mouse		SORT-Seq	GSE114988		RNA-seq	Enteroendocrine cells			7.0	Yes	No	No	No	Yes		
Ji et al ARD	10.1136/annrheumdis-2017-212863	Quanbo Ji, Yuxuan Zheng, Guoqiang Zhang, Yuqiong Hu, Xiaoying Fan, Yu Hou, Lu Wen, Li Li, Yameng Xu, Yan Wang, Fuchou Tang	Ann Rheum Dis	Single-cell RNA-seq analysis reveals the progression of human osteoarthritis	20180719.0	-	1,464	Human		STRT-Seq	GSE104782		RNA-seq	chondrocytes			8.0	Yes	Yes	No	Yes	Yes		
Liu et al CResearch	10.1038/s41422-018-0066-y	Yawei Liu, Xiaoying Fan, Rui Wang, Xiaoyin Lu, Yan-Li Dang, Huiying Wang, Hai-Yan Lin, Cheng Zhu, Hao Ge, James C. Cross, Hongmei Wang	Cell Res	Single-cell RNA-seq reveals the diversity of trophoblast subtypes and patterns of differentiation in the human placenta 	20180724.0	-	1,567	Human		STRT-Seq			RNA-seq				14.0							
Yuan et al GMedicine	10.1186/s13073-018-0567-9	Jinzhou Yuan, Hanna Mendes Levitin, Veronique Frattini, Erin C. Bush, Deborah M. Boyett, Jorge Samanamud, Michele Ceccarelli, Athanassios Dovas, George Zanazzi, Peter Canoll, Jeffrey N. Bruce, Anna Lasorella, Antonio Iavarone, Peter A. Sims	Genome Med	Single-cell transcriptome analysis of lineage diversity in high-grade glioma	20180724.0		24,000	Human	Brain	SCRB-Seq (microwell)	GSE103224		RNA-seq	High-grade glioma				Yes						
Müller et al bioRxiv	10.1101/377606	Sören Müller, Elizabeth Di Lullo, Aparna Bhaduri, Beatriz Alvarado, Garima Yagnik, Gary Kohanbash, Manish Aghi, Aaron Diaz	bioRxiv	A single-cell atlas of human glioblastoma reveals a single axis of phenotype in tumor-propagating cells	20180726.0	10.1101/377606	37,000	Human	Brain	Chromium & SMARTer (C1)	EGAS00001002185		RNA-seq	Glioblastoma										
Chen et al CResearch	10.1038/s41422-018-0074-y	Yao Chen, Yuxuan Zheng, Yun Gao, Zhen Lin, Suming Yang, Tongtong Wang, Qiu Wang, Nannan Xie, Rong Hua, Mingxi Liu, Jiahao Sha, Michael D. Griswold, Jinsong Li, Fuchou Tang, Ming-Han Tong	Cell Res	Single-cell RNA-seq uncovers dynamic processes and critical regulators in mouse spermatogenesis	20180730.0		1,136	Mouse			GSE107644		RNA-seq	Vasa-dTomato positive synchronous spermatogenic cells	20 time points									
Montoro et al Nature	10.1038/s41586-018-0393-7	Daniel T. Montoro, Adam L. Haber, Moshe Biton, Vladimir Vinarsky, Brian Lin, Susan E. Birket, Feng Yuan, Sijia Chen, Hui Min Leung, Jorge Villoria, Noga Rogel, Grace Burgin, Alexander M. Tsankov, Avinash Waghray, Michal Slyper, Julia Waldman, Lan Nguyen, Danielle Dionne, Orit Rozenblatt-Rosen, Purushothama Rao Tata, Hongmei Mou, Manjunatha Shivaraju, Hermann Bihler, Martin Mense, Guillermo J. Tearney, Steven M. Rowe, John F. Engelhardt, Aviv Regev, Jayaraj Rajagopal	Nature	A revised airway epithelial hierarchy includes CFTR-expressing ionocytes	20180731.0	-	73,759	Mouse	Trachea	Chromium & Smart-seq2	GSE103354		RNA-seq	trachea epithelial cells			8.0	Yes				Yes		
Horie et al Nature	10.1038/s41586-018-0385-7	Ryoko Horie, Alex Hazbun, Kai Chen, Chen Cao, Michael Levine, Takeo Horie	Nature	Shared evolutionary origin of vertebrate neural crest and cranial placodes	20180801.0	-	10,135	Sea Squirt	Whole organism	Chromium	GSE115331		RNA-seq	whole organism			20.0	Yes	No	No	Yes	Yes		
Giraddi et al CReports	10.1016/j.celrep.2018.07.025	Rajshekhar R. Giraddi, Chi-Yeh Chung, Richard E. Heinz, Ozlen Balcioglu, Mark Novotny, Christy L. Trejo, Christopher Dravis, Berhane M. Hagos, Elnaz Mirzaei Mehrabad, Luo Wei Rodewald, Jae Y. Hwang, Cheng Fan, Roger Lasken, Katherine E. Varley, Charles M. Perou, Geoffrey M. Wahl, Benjamin T. Spike	Cell Reports	Single-Cell Transcriptomes Distinguish Stem Cell State Changes and Lineage Specification Programs in Early Mammary Gland Development	20180807.0	-	6,686	Mouse	Breast	Chromium & SMARTer (C1)	GSE111113		RNA-seq	Mammary tissue			7.0	Yes	Yes	No	No	Yes		
La manno et al Science	10.1038/s41586-018-0414-6	Gioele La Manno, Ruslan Soldatov, Amit Zeisel, Emelie Braun, Hannah Hochgerner, Viktor Petukhov, Katja Lidschreiber, Maria E. Kastriti, Peter Lönnerberg, Alessandro Furlan, Jean Fan, Lars E. Borm, Zehua Liu, David van Bruggen, Jimin Guo, Xiaoling He, Roger Barker, Erik Sundström, Gonçalo Castelo-Branco, Patrick Cramer, Igor Adameyko, Sten Linnarsson, Peter V. Kharchenko	Nature	RNA velocity of single cells	20180807.0	10.1101/206052	1,720	Human		Chromium			RNA-seq				8.0							
Zeisel et al Cell	10.1016/j.cell.2018.06.021	Amit Zeisel, Hannah Hochgerner, Peter Lönnerberg, Anna Johnsson, Fatima Memic, Job van der Zwan, Martin Häring, Emelie Braun, Lars E. Borm, Gioele La Manno, Simone Codeluppi, Alessandro Furlan, Kawai Lee, Nathan Skene, Kenneth D. Harris, Jens Hjerling-Leffler, Ernest Arenas, Patrik Ernfors, Ulrika Marklund, Sten Linnarsson	Cell	Molecular Architecture of the Mouse Nervous System	20180809.0	10.1101/294918	509,876	Mouse	Brain	Chromium	SRP135960		RNA-seq	Nervous system, 19 regions		Postnatal P12-30	265.0	Yes			Yes	Yes		
Saunders et al Cell	10.1016/j.cell.2018.07.028	Arpiar Saunders, Evan Z. Macosko, Alec Wysoker, Melissa Goldman, Fenna M. Krienen, Heather de Rivera, Elizabeth Bien, Matthew Baum, Laura Bortolin, Shuyu Wang, Aleksandrina Goeva, James Nemesh, Nolan Kamitaki, Sara Brumbaugh, David Kulp, Steven A. McCarroll	Cell	Molecular Diversity and Specializations among the Cells of the Adult Mouse Brain	20180809.0	10.1101/299081	690,000	Mouse	Brain	Drop-seq	GSE116470		RNA-seq	9 brain regions		Adult	565.0	Yes					gs://h5ad/2018-08-Saunders-et-al-Cell	
Balan et al CReports	10.1016/j.celrep.2018.07.033	Sreekumar Balan, Catharina Arnold-Schrauf, Abdenour Abbas, Norbert Couespel, Juliette Savoret, Francesco Imperatore, Alexandra-Chloé Villani, Thien-Phong Vu Manh, Nina Bhardwaj, Marc Dalod	Cell Reports	Large-Scale Human Dendritic Cell Differentiation Revealing Notch-Dependent Lineage Bifurcation and Heterogeneity	20180814.0	-	12,203	Human		Chromium & Smart-seq2	GSE115405		RNA-seq	Dendritic cells			12.0	Yes	No	No	Yes	Yes		
Habiel et al JCIinsight	10.1172/jci.insight.122211	David M. Habiel, Milena S. Espindola, Isabelle C. Jones, Ana Lucia Coelho, Barry Stripp, Cory M. Hogaboam	JCI Insight	CCR10+ epithelial cells from idiopathic pulmonary fibrosis lungs drive remodeling	20180822.0		7,438	Mouse	Lung	Chromium	GSE115982		RNA-seq	lung epithelial cells			8.0	Yes	No	No	Yes	Yes		
Karaayvaz	10.1038/s41467-018-06052-0	Mihriban Karaayvaz, Simona Cristea, Shawn M. Gillespie, Anoop P. Patel, Ravindra Mylvaganam, Christina C. Luo, Michelle C. Specht, Bradley E. Bernstein, Franziska Michor, Leif W. Ellisen	Nat Commun	Unravelling subclonal heterogeneity and aggressive disease states in TNBC through single-cell RNA-seq	20180829.0		1,534	Human	Breast	Smart-seq2	GSE118390		RNA-seq	triple negative breast cancer			16.0	Yes	No	No	No	Yes		
Schafflick et al bioRxiv	10.1101/403527	David Schafflick, Chenling A. Xu, Maike Hartlehnert, Michael Cole, Tobias Lautwein, Andreas Schulte-Mecklenbeck, Jolien Wolbert, Michael Heming, Sven G. Meuth, Tanja Kuhlmann, Catharina C. Gross, Heinz Wiendl, Nir Yosef, Gerd Meyer zu Horste	bioRxiv	Integrated single cell analysis of blood and cerebrospinal fluid leukocytes in multiple sclerosis	20180829.0	10.1101/403527	65,326	Human	Spine	Chromium			RNA-seq	cerebrospinal fluid			17.0							
De Schepper et al Cell	10.1016/j.cell.2018.07.048	Sebastiaan De Schepper, Simon Verheijden, Javier Aguilera-Lizarraga, Maria Francesca Viola, Werend Boesmans, Nathalie Stakenborg, Iryna Voytyuk, Inga Schmidt, Bram Boeckx, Isabelle Dierckx de Casterlé, Veerle Baekelandt, Erika Gonzalez Dominguez, Matthias Mack, Inge Depoortere, Bart De Strooper, Ben Sprangers, Uwe Himmelreich, Stefaan Soenen, Martin Guilliams, Pieter Vanden Berghe, Elizabeth Jones, Diether Lambrechts, Guy Boeckxstaens	Cell	Self-Maintaining Gut Macrophages Are Essential for Intestinal Homeostasis	20180830.0	-	697	Mouse	Small instestine	Chromium	E-MTAB-6976		RNA-seq	Lamina propria macrophages			4.0	Yes				Yes		
Cao et al Science	10.1126/science.aau0730	Junyue Cao, Darren A. Cusanovich, Vijay Ramani, Delasa Aghamirzaie, Hannah A. Pliner, Andrew J. Hill, Riza M. Daza, Jose L. McFaline-Figueroa, Jonathan S. Packer, Lena Christiansen, Frank J. Steemers, Andrew C. Adey, Cole Trapnell, Jay Shendure	Science	Joint profiling of chromatin accessibility and gene expression in thousands of single cells	20180830.0	-	16,121	Mouse	Kidney	sci-CAR	GSE117089		RNA-seq											
Li et al eLife	10.7554/eLife.36865	Rongbo Li, Ksenija Bernau, Nathan Sandbo, Jing Gu, Sebastian Preissl, Xin Sun	eLife	Pdgfra marks a cellular lineage with distinct contributions to myofibroblasts in lung maturation and injury response	20180904.0	-	4,438	Mouse	Lung	Chromium	GSE118555		RNA-seq	Lung			5.0	Yes	No	No	No	Yes		
Sjaastad et al PNAS	10.1073/pnas.1807516115	Louisa E. Sjaastad, Elizabeth J. Fay, Jessica K. Fiege, Marissa G. Macchietto, Ian A. Stone, Matthew W. Markman, Steven Shen, Ryan A. Langlois	Proc Natl Acad Sci USA	Distinct antiviral signatures revealed by the magnitude and round of influenza virus replication in vivo	20180904.0	-	39	Mouse		SMARTer			RNA-seq				4.0							
Cacchiarelli et al CSystems	10.1016/j.cels.2018.07.006	Davide Cacchiarelli, Xiaojie Qiu, Sanjay Srivatsan, Anna Manfredi, Michael Ziller, Eliah Overbey, Antonio Grimaldi, Jonna Grimsby, Prapti Pokharel, Kenneth J. Livak, Shuqiang Li, Alexander Meissner, Tarjei S. Mikkelsen, John L. Rinn, Cole Trapnell	Cell Systems	Aligning Single-Cell Developmental and Reprogramming Trajectories Identifies Molecular Determinants of Myogenic Reprogramming Outcome	20180905.0	10.1101/122531	466	Human		SMARTer (C1)			RNA-seq											
Sousa et al Ereports	10.15252/embr.201846171	Carole Sousa, Anna Golebiewska, Suresh K Poovathingal, Tony Kaoma, Yolanda Pires‐Afonso, Silvia Martina, Djalil Coowar, Francisco Azuaje, Alexander Skupin, Rudi Balling, Knut Biber, Simone P Niclou, Alessandro Michelucci	EMBO Rep.	Single‐cell transcriptomics reveals distinct inflammation‐induced microglia signatures	20180911.0	-	1,247	Mouse	Brain	Drop-seq	GSE115571		RNA-seq	Microglia			3.0	Yes	Yes	No	Yes	Yes		
Ranu et al NAR	10.1093/nar/gky856	Navpreet Ranu, Alexandra-Chloé Villani, Nir Hacohen, Paul C Blainey	Nucleic Acids Research	Targeting individual cells by barcode in pooled sequence libraries	20180912.0	10.1101/178681	4,235	Human		Chromium			RNA-seq											
Carter et al CBiology	10.1016/j.cub.2018.07.062	Robert A. Carter, Laure Bihannic, Celeste Rosencrance, Jennifer L. Hadley, Yiai Tong, Timothy N. Phoenix, Sivaraman Natarajan, John Easton, Paul A. Northcott, Charles Gawad	Current Biology	A Single-Cell Transcriptional Atlas of the Developing Murine Cerebellum	20180913.0	-	39,245	Mouse	Brain	Chromium	PRJEB23051		RNA-seq	Developing cerebellum		12 developmeental timee points in embryonic and postnatal stages								
Fan et al DCell	10.1016/j.devcel.2018.08.010	Xiying Fan, Dongmei Wang, Jeremy Evan Burgmaier, Yudong Teng, Rose-Anne Romano, Satrajit Sinha, Rui Yi	Developmental Cell	Single Cell and Open Chromatin Analysis Reveals Molecular Origin of Epidermal Cells of the Skin	20180913.0		11,293	Mouse	Skin	Chromium	GSE102086		RNA-seq	Early epidermis	Ctrl vs P63KO									
Vanuytsel et al BAdvances	10.1182/bloodadvances.2018020560	Kim Vanuytsel, Taylor Matte, Amy Leung, Zaw Htut Naing, Tasha Morrison, David H. K. Chui, Martin H. Steinberg, George J. Murphy	Blood Adv	Induced pluripotent stem cell–based mapping of β-globin expression throughout human erythropoietic development	20180914.0	-	242	Human	iPSC	SMARTer (C1)			RNA-seq				3.0							
Shang et al Gigascience	10.1093/gigascience/giy117	Zhouchun Shang, Dongsheng Chen, Quanlei Wang, Shengpeng Wang, Qiuting Deng, Liang Wu, Chuanyu Liu, Xiangning Ding, Shiyou Wang, Jixing Zhong, Doudou Zhang, Xiaodong Cai, Shida Zhu, Huanming Yang, Longqi Liu, J Lynn Fink, Fang Chen, Xiaoqing Liu, Zhengliang Gao, Xun Xu	GigaScience	Single-cell RNA-seq reveals dynamic transcriptome profiling in human early neural differentiation	20180918.0	10.1101/384131		Human	iPSC, fibroblast				RNA-seq											
Horie et al GDevelopment	10.1101/gad.317669.118	Takeo Horie, Ryoko Horie, Kai Chen, Chen Cao, Masashi Nakagawa, Takehiro G. Kusakabe, Noriyuki Satoh, Yasunori Sasakura, Michael Levine	Genes Dev.	Regulatory cocktail for dopaminergic neurons in a protovertebrate identified by whole-embryo single-cell transcriptomics	20180918.0	-	14,829	Ciona intestinalis	Whole organism	Chromium	GSE120035		RNA-seq				5.0	Yes						
Arneson et al NComm	10.1038/s41467-018-06222-0	Douglas Arneson, Guanglin Zhang, Zhe Ying, Yumei Zhuang, Hyae Ran Byun, In Sook Ahn, Fernando Gomez-Pinilla, Xia Yang	Nat Commun	Single cell molecular alterations reveal target cells and pathways of concussive brain injury	20180919.0	10.1101/250381	8,397	Mouse		Drop-seq			RNA-seq				19.0							
Pezoldt et al NComm	10.1038/s41467-018-06423-7	Joern Pezoldt, Maria Pasztoi, Mangge Zou, Carolin Wiechers, Michael Beckstette, Guilhem R. Thierry, Ehsan Vafadarnejad, Stefan Floess, Panagiota Arampatzi, Manuela Buettner, Janina Schweer, Diana Fleissner, Marius Vital, Dietmar H. Pieper, Marijana Basic, Petra Dersch, Till Strowig, Mathias Hornef, André Bleich, Ulrike Bode, Oliver Pabst, Marc Bajénoff, Antoine-Emmanuel Saliba, Jochen Huehn	Nat Commun	Neonatally imprinted stromal cell subsets induce tolerogenic dendritic cells in mesenteric lymph nodes	20180919.0	-	7,269	Mouse		Chromium			RNA-seq				14.0							
Tong et al BMCCC	10.1186/s40880-018-0326-8	Mengying Tong, Ziqian Deng, Mengying Yang, Chang Xu, Xiaolong Zhang, Qingzheng Zhang, Yuwei Liao, Xiaodi Deng, Dekang Lv, Xuehong Zhang, Yu Zhang, Peiying Li, Luyao Song, Bicheng Wang, Aisha Al-Dherasi, Zhiguang Li, Quentin Liu	Cancer Commun	Transcriptomic but not genomic variability confers phenotype of breast cancer stem cells	20180919.0	-	12	Human	Culture	Discover-sc WTA			RNA-seq	breast cancer cell line MDA-MB-231 			2.0							
Farhadian et al JCIinsight	10.1172/jci.insight.121718	Shelli F. Farhadian, Sameet S. Mehta, Chrysoula Zografou, Kevin Robertson, Richard W. Price, Jenna Pappalardo, Jennifer Chiarella, David A. Hafler, Serena S. Spudich	JCI Insight	Single-cell RNA sequencing reveals microglia-like cells in cerebrospinal fluid during virologically suppressed HIV	20180919.0	10.1101/310128	8,774	Human	cerebrospinal fluid, blood	Seq-Well			RNA-seq				14.0							
Byrnes et al NCommunications	10.1038/s41467-018-06176-3	Lauren E. Byrnes, Daniel M. Wong, Meena Subramaniam, Nathaniel P. Meyer, Caroline L. Gilchrist, Sarah M. Knox, Aaron D. Tward, Chun J. Ye, Julie B. Sneddon	Nat Commun	Lineage dynamics of murine pancreatic development at single-cell resolution	20180919.0	-	18,294	Mouse	Pancreas	Chromium	GSE101099		RNA-seq	developing pancreas E12, E14, E17		E12, E14, E17	17.0	Yes						
Hu et al GDevelopment	10.1101/gad.316802.118	Peng Hu, Jian Liu, Juanjuan Zhao, Benjamin J. Wilkins, Katherine Lupino, Hao Wu, Liming Pei	Genes Dev.	Single-nucleus transcriptomic survey of cell diversity and functional maturation in postnatal mammalian hearts	20180925.0	-	19,643	Mouse		sNucDrop-seq			RNA-seq				14.0							
Tischler et al EMBO	10.15252/embj.201899518	Julia Tischler, Wolfram H Gruhn, John Reid, Edward Allgeyer, Florian Buettner, Carsten Marr, Fabian Theis, Ben D Simons, Lorenz Wernisch, M Azim Surani	EMBO J.	Metabolic regulation of pluripotency and germ cell fate through α‐ketoglutarate	20180926.0	-	67	Mouse		SMARTer (C1)			RNA-seq					No	Yes	No	No	No		
Kinchen et al Cell	10.1016/j.cell.2018.08.067	James Kinchen, Hannah H. Chen, Kaushal Parikh, Agne Antanaviciute, Marta Jagielowicz, David Fawkner-Corbett, Neil Ashley, Laura Cubitt, Esther Mellado-Gomez, Moustafa Attar, Eshita Sharma, Quin Wills, Rory Bowden, Felix C. Richter, David Ahern, Kamal D. Puri, Jill Henault, Francois Gervais, Hashem Koohy, Alison Simmons	Cell	Structural Remodeling of the Human Colonic Mesenchyme in Inflammatory Bowel Disease	20180927.0	-	16,500	Human	colonic mesenchymal cells	Chromium & SMARTer (C1)			RNA-seq				12.0							
Gerber et al Science	10.1126/science.aaq0681	Tobias Gerber, Prayag Murawala, Dunja Knapp, Wouter Masselink, Maritta Schuez, Sarah Hermann, Malgorzata Gac-Santel, Sergej Nowoshilow, Jorge Kageyama, Shahryar Khattak, Joshua D. Currie, J. Gray Camp, Elly M. Tanaka, Barbara Treutlein	Science	Single-cell analysis uncovers convergence of cell identities during axolotl limb regeneration	20180927.0	-	3,151	Axolotl		Chromium & SMARTer (C1) & Smart-seq2			RNA-seq				8.0							
Qian et al BioRxiv	10.1101/431957	Xiaoyan Qian, Kenneth D. Harris, Thomas Hauling, Dimitris Nicoloutsopoulos, Ana B. Muñoz-Manchado, Nathan Skene, Jens Hjerling-Leffler, Mats Nilsson	bioRxiv	A spatial atlas of inhibitory cell types in mouse hippocampus	20181001.0	10.1101/431957	82,877	Mouse	Brain	pciSeq			RNA-seq				71.0							
TMC et al Nature	10.1038/s41586-018-0590-4	The Tabula Muris Consortium, Overall coordination, Logistical coordination, Organ collection and processing, Library preparation and sequencing, Computational data analysis, Cell type annotation, Writing group, Supplemental text writing group, Principal investigators	Nature	Single-cell transcriptomics of 20 mouse organs creates a Tabula Muris	20181003.0	-	100,605	Mouse		Smart-Seq2 & Chromium			RNA-seq	Multiple organs			76.0						gs://h5ad/2018-10-Schaum-et-al-Nature	
Upadhaya et al JEM	10.1084/jem.20180136	Samik Upadhaya, Catherine M. Sawai, Efthymia Papalexi, Ali Rashidfarrokhi, Geunhyo Jang, Pratip Chattopadhyay, Rahul Satija, Boris Reizis	J. Exp. Med.	Kinetics of adult hematopoietic stem cell differentiation in vivo	20181008.0	-	1,225	Mouse		Smart-seq2			RNA-seq				8.0							
Cohen et al Cell	10.1016/j.cell.2018.09.009	Merav Cohen, Amir Giladi, Anna-Dorothea Gorki, Dikla Gelbard Solodkin, Mor Zada, Anastasiya Hladik, Andras Miklosi, Tomer-Meir Salame, Keren Bahar Halpern, Eyal David, Shalev Itzkovitz, Tibor Harkany, Sylvia Knapp, Ido Amit	Cell	Lung Single-Cell Signaling Interaction Map Reveals Basophil Role in Macrophage Imprinting	20181011.0	-	50,770	Mouse	Lung	MARS-Seq	GSE119228		RNA-seq	Lung			29.0							
Guo et al CResearch	10.1038/s41422-018-0099-2	Jingtao Guo, Edward J. Grow, Hana Mlcochova, Geoffrey J. Maher, Cecilia Lindskog, Xichen Nie, Yixuan Guo, Yodai Takei, Jina Yun, Long Cai, Robin Kim, Douglas T. Carrell, Anne Goriely, James M. Hotaling, Bradley R. Cairns	Cell Res	The adult human testis transcriptional cell atlas	20181012.0	-	6,490	Human	Testis	Chromium	GSE120508		RNA-seq	Testis			13.0	Yes	Yes	Yes	No	Yes		
Mollaoglu et al Immunity	10.1016/j.immuni.2018.09.020	Gurkan Mollaoglu, Alex Jones, Sarah J. Wait, Anandaroop Mukhopadhyay, Sangmin Jeong, Rahul Arya, Soledad A. Camolotto, Timothy L. Mosbruger, Chris J. Stubben, Christopher J. Conley, Arjun Bhutkar, Jeffery M. Vahrenkamp, Kristofer C. Berrett, Melissa H. Cessna, Thomas E. Lane, Benjamin L. Witt, Mohamed E. Salama, Jason Gertz, Kevin B. Jones, Eric L. Snyder, Trudy G. Oliver	Immunity	The Lineage-Defining Transcription Factors SOX2 and NKX2-1 Determine Lung Cancer Cell Fate and Shape the Tumor Immune Microenvironment	20181016.0	-	2,274	Mouse		Chromium			RNA-seq	non-small-cell lung cancer 			9.0							
Joost et al CReports	10.1016/j.celrep.2018.09.059	Simon Joost, Tina Jacob, Xiaoyan Sun, Karl Annusver, Gioele La Manno, Inderpreet Sur, Maria Kasper	Cell Reports	Single-Cell Transcriptomics of Traced Epidermal and Hair Follicle Stem Cells Reveals Rapid Adaptations during Wound Healing	20181016.0	-	1,873	Mouse		STRT-Seq (C1)			RNA-seq				5.0	Yes	Yes	No	Yes	Yes		
Gubin et al Cell	10.1016/j.cell.2018.09.030	Matthew M. Gubin, Ekaterina Esaulova, Jeffrey P. Ward, Olga N. Malkova, Daniele Runci, Pamela Wong, Takuro Noguchi, Cora D. Arthur, Wei Meng, Elise Alspach, Ruan F.V. Medrano, Catrina Fronick, Michael Fehlings, Evan W. Newell, Robert S. Fulton, Kathleen C.F. Sheehan, Stephen T. Oh, Robert D. Schreiber, Maxim N. Artyomov	Cell	High-Dimensional Analysis Delineates Myeloid and Lymphoid Compartment Remodeling during Successful Immune-Checkpoint Cancer Therapy	20181018.0	-	15,000	Mouse		Chromium			RNA-seq				19.0	Yes	Yes	No	Yes	Yes		
Nomura et al NCommunications	10.1038/s41467-018-06639-7	Seitaro Nomura, Masahiro Satoh, Takanori Fujita, Tomoaki Higo, Tomokazu Sumida, Toshiyuki Ko, Toshihiro Yamaguchi, Takashige Tobita, Atsuhiko T. Naito, Masamichi Ito, Kanna Fujita, Mutsuo Harada, Haruhiro Toko, Yoshio Kobayashi, Kaoru Ito, Eiki Takimoto, Hiroshi Akazawa, Hiroyuki Morita, Hiroyuki Aburatani, Issei Komuro	Nat Commun	Cardiomyocyte gene programs encoding morphological and functional signatures in cardiac hypertrophy and failure	20181019.0	-	1,190	Human	Heart	Smart-seq2	GSE95140		RNA-seq	Cardiomyocytes										
Codeluppi et al NMethods	10.1038/s41592-018-0175-z	Simone Codeluppi, Lars E. Borm, Amit Zeisel, Gioele La Manno, Josina A. van Lunteren, Camilla I. Svensson, Sten Linnarsson	Nat Methods	Spatial organization of the somatosensory cortex revealed by osmFISH	20181019.0	-	6,471	Mouse	Brain	osmFISH		33	In Situ	Frontal cortex									gs://h5ad/2019-05-Clark-et-al-Neuron/2018-10-Codeluppi-et-al-NMethods	
Yue et al bioRxiv	10.1101/448837	Sibiao Yue, Xiaobin Zheng, Yixian Zheng	bioRxiv	Cell type-specific role of lamin-B1 and its inflammation-driven reduction in organ building and aging	20181020.0	10.1101/448837	20,159	Mouse		Chromium			RNA-seq											
